PLAYER,SCORING_Ratio,REBOUNDING_Ratio,SCORING_Corr2Impcat,REBOUNDING_Corr2Impcat
Aaliyah Edwards,0.669213139801375,0.403898933310698,0.9862413826124556,0.9607689228305227
Aari Mcdonald,0.5714285714285714,0.42857142857142855,,
Alanna Smith,0.41258462763839104,0.9422540820390283,0.9980460957560546,0.9963374829657549
Aliyah Boston,0.6581635564686412,0.43951948867203106,0.6675384358931947,0.021182412025277396
Allisha Gray,0.829209217072532,0.21645531739797255,0.9547573490597575,0.33668766775402886
Alyssa Thomas,0.5454545454545454,0.494388327721661,0.9994237971287661,0.4703170810017723
Arike Ogunbowale,0.9645021645021644,0.2532467532467532,0.9686196045011367,0.9686196045011367
Azura Stevens,0.6302156957894663,0.3697843042105337,0.9978037575774078,0.995212096504758
Breanna Stewart,0.7176829018934282,0.34930274403958617,0.9476966276867815,0.995212096504758
Brittney Griner,0.8333333333333333,0.41666666666666663,,
Brittney Sykes,0.862031101614435,0.19824311490978155,0.26782783411485694,0.3592106040535498
Cameron Brink,0.6433862433862434,0.4878306878306879,0.9819805060619657,-0.7559289460184544
Chelsea Gray,0.925920497446147,0.15693981789917832,0.9992682256543546,0.5792388914047973
Courtney Williams,0.6345811051693405,0.5240641711229946,0.9728856819885575,0.9020175848293179
Dearica Hamby,0.6164780512264376,0.43020062619160065,0.9998483326656253,-0.19466739886057416
Dominique Malonga,0.6874360099458827,0.47520842474769637,-0.9999999999999999,0.9853292781642929
Erica Wheeler,0.6619106699751861,0.38110008271298595,0.9784116178018627,0.9288517642284896
Ezi Magbegor,0.5701757146603724,0.504662995017047,0.9449111825230683,0.1428571428571428
Jackie Young,0.7800059417706476,0.2699346405228758,0.9950680408310064,-0.7455284088780167
Jordin Canada,0.6697626418988648,0.4135706914344685,0.644902021637024,0.8284941842352037
Kate Martin,0.6128364389233955,0.458592132505176,0.9988229391914273,-0.979276836887435
Kelsey Mitchell,0.8982128982128982,0.19751359751359754,0.7751332793988402,-0.7751332793988404
Kelsey Plum,0.7752009894867037,0.28736343022057304,0.9979202407357209,0.6084587782947886
Kiki Iriafen,0.6255733005733006,0.39244471744471743,0.8608059383590115,0.04845982849060006
Lexie Hull,0.5916083916083915,0.46091686091686096,0.8660254037844385,1.0
Li Yueru,0.48148148148148145,0.5185185185185185,0.8141523424379788,0.8471894069146485
Maddy Siegrist,0.6914412668888371,0.32876075331318294,0.996615895540124,-0.9686196045011365
Marina Mabrey,0.9695649487084413,0.2620504263997034,0.4539206495016019,0.5447047794019223
Monique Billings,0.6716049382716048,0.39999999999999997,0.8714204019005981,0.7322075967233564
Natasha Cloud,0.7032733633183409,0.44902548725637176,0.9838765921116482,0.3734339407253459
Natisha Hiedeman,0.75,0.4444444444444444,0.8902068729845689,0.7019158563540909
Naz Hillmon,0.6945454545454545,0.4760606060606061,0.6362847629757779,0.7236523150751559
Paige Bueckers,0.751648565960922,0.3713630989383357,0.9822556819897255,-0.8614070872530409
Rachel Banham,0.8206349206349207,0.3682539682539683,-0.9819805060619659,0.9819805060619659
Rae Burrell,0.6265503875968993,0.45562015503875974,0.9176629354822471,0.5618775605543075
Rebecca Allen,0.7371794871794872,0.5,0.846153846153846,0.8058373793340822
Rhyne Howard,0.8831753392893678,0.21919116142672032,0.9956858798897378,0.42367386024763976
Rickea Jackson,0.8236652236652237,0.2566378066378066,0.8660254037844385,-0.9819805060619659
Saniya Rivers,1.1174603174603175,0.25396825396825395,0.9939740274294849,0.9992182384078384
Shakira Austin,0.6790048407069683,0.39867161994821565,0.7004727969157797,0.9332565252573827
Sonia Citron,0.824989824989825,0.2753357753357753,0.9909685668836457,-0.703452458112659
Sug Sutton,0.6666666666666666,0.3666666666666667,0.9993216505720216,-0.1889822365046136
Temi Fagbenle,0.5050505050505051,0.6161616161616161,0.9563247157871202,0.7902064329684287
Tiffany Hayes,0.7099985360854926,0.39177280046845264,0.9978755313204096,0.07429094515886477
Veronica Burton,0.7120300751879699,0.3855889724310777,0.9520036407578064,0.9979982928366231
