DATE,MATCH UP,MIN,PTS,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PLAYER,IMPACT
"Jan 11, 2026",@,22.1,37,12-20,7-9,2-2,5,1,4,4,1,0,3,3,Chelsea Gray,39.5
"Jan 09, 2026",@,21.8,23,7-15,4-7,2-2,5,0,5,5,1,1,3,3,Chelsea Gray,25.0
"Jan 05, 2026",@,21.5,35,14-20,5-10,1-2,5,0,5,8,3,0,2,2,Chelsea Gray,38.0
"Jan 12, 2026",@,21.8,26,10-23,4-11,1-2,6,0,6,6,0,0,8,6,Marina Mabrey,24.0
"Jan 10, 2026",@,20.8,32,9-21,5-11,4-4,6,2,4,7,0,0,8,3,Marina Mabrey,31.0
"Jan 05, 2026",@,22.6,23,9-26,1-12,3-3,8,2,6,9,0,0,3,1,Marina Mabrey,29.0
"Jan 12, 2026",@,21.0,38,16-19,0-0,4-6,13,3,10,1,0,0,3,2,Aaliyah Edwards,49.5
"Jan 10, 2026",@,19.3,13,6-20,0-1,1-3,11,3,8,1,1,0,0,2,Aaliyah Edwards,25.5
"Jan 05, 2026",@,18.4,23,10-19,0-0,2-2,12,3,9,0,1,0,5,3,Aaliyah Edwards,31.5
"Jan 12, 2026",@,13.9,25,9-16,2-6,3-4,7,2,5,2,5,0,1,2,Brittney Sykes,32.0
"Jan 10, 2026",@,15.6,29,9-17,5-7,3-3,1,0,1,1,3,0,3,3,Brittney Sykes,27.0
"Jan 05, 2026",@,13.3,19,8-17,2-6,1-2,7,2,5,0,1,0,1,2,Brittney Sykes,26.0
"Jan 12, 2026",@,15.9,18,8-18,2-7,0-0,7,3,4,2,0,0,2,3,Kelsey Plum,24.5
"Jan 10, 2026",@,19.6,38,16-22,4-8,1-1,8,0,8,11,1,0,2,4,Kelsey Plum,44.0
"Jan 05, 2026",@,16.2,12,5-17,2-10,0-0,5,1,4,4,0,0,1,4,Kelsey Plum,16.5
"Jan 12, 2026",@,12.2,16,6-10,2-4,1-1,3,0,3,6,0,1,0,0,Allisha Gray,19.0
"Jan 10, 2026",@,15.3,30,9-19,3-11,3-4,4,1,3,3,0,0,1,2,Allisha Gray,33.5
"Jan 05, 2026",@,13.0,21,7-15,2-4,3-4,9,2,7,3,2,0,3,1,Allisha Gray,28.0
"Jan 11, 2026",@,18.3,40,16-22,0-1,5-6,10,4,6,2,0,0,1,3,Dearica Hamby,51.0
"Jan 09, 2026",@,17.8,19,8-15,1-2,1-3,11,3,8,1,1,0,2,4,Dearica Hamby,29.5
"Jan 05, 2026",@,18.2,8,4-10,0-1,0-0,11,2,9,1,1,0,1,2,Dearica Hamby,19.0
"Jan 11, 2026",@,20.1,18,6-14,6-8,0-0,5,1,4,4,0,3,2,4,Rhyne Howard,21.5
"Jan 09, 2026",@,22.0,28,10-16,6-11,1-1,4,0,4,1,2,0,1,2,Rhyne Howard,31.0
"Jan 05, 2026",@,16.6,10,3-15,2-10,1-1,3,0,3,1,1,0,2,3,Rhyne Howard,11.0
"Jan 11, 2026",@,21.3,15,6-14,1-4,2-2,9,1,8,10,1,0,4,3,Paige Bueckers,20.5
"Jan 09, 2026",@,17.3,16,7-14,0-3,1-1,10,2,8,6,0,1,4,1,Paige Bueckers,23.0
"Jan 05, 2026",@,19.8,24,7-15,1-2,5-5,5,0,5,6,0,2,0,1,Paige Bueckers,29.0
"Jan 11, 2026",@,19.7,20,8-16,4-6,0-1,4,0,4,4,1,1,2,0,Rickea Jackson,22.0
"Jan 09, 2026",@,20.7,16,5-13,0-1,3-3,6,2,4,2,1,0,3,2,Rickea Jackson,20.0
"Jan 05, 2026",@,18.2,16,7-16,0-3,1-1,5,0,5,1,0,1,0,3,Rickea Jackson,21.0
"Jan 12, 2026",@,17.6,17,7-20,0-3,2-2,8,2,6,2,1,2,0,1,Breanna Stewart,26.0
"Jan 10, 2026",@,19.1,22,8-18,0-4,3-3,10,1,9,4,1,0,4,4,Breanna Stewart,28.5
"Jan 05, 2026",@,12.0,12,5-10,0-3,1-2,5,1,4,0,0,1,1,2,Breanna Stewart,16.5
"Jan 11, 2026",@,12.5,20,9-14,0-1,1-1,5,1,4,0,0,1,4,1,Dominique Malonga,21.5
"Jan 09, 2026",@,15.4,15,5-13,0-1,3-3,13,3,10,1,0,1,3,1,Dominique Malonga,26.5
"Jan 05, 2026",@,18.7,15,6-10,1-2,1-1,14,5,9,0,0,0,5,1,Dominique Malonga,26.5
"Jan 12, 2026",@,12.8,10,4-11,0-0,1-1,12,5,7,2,1,0,2,1,Aliyah Boston,22.5
"Jan 10, 2026",@,16.8,21,9-13,3-5,0-0,10,1,9,5,3,3,2,3,Aliyah Boston,29.5
"Jan 05, 2026",@,18.0,18,9-15,0-2,0-0,7,0,7,3,1,1,3,5,Aliyah Boston,22.0
"Jan 12, 2026",@,14.2,22,7-17,2-6,3-3,3,3,0,3,0,0,1,0,Jackie Young,25.5
"Jan 10, 2026",@,16.1,12,4-9,2-5,1-1,5,1,4,8,2,0,1,2,Jackie Young,16.5
"Jan 05, 2026",@,12.7,15,6-14,2-4,1-2,5,2,3,1,1,1,1,3,Jackie Young,20.0
"Jan 11, 2026",@,10.3,12,4-14,2-7,1-1,6,1,5,2,0,0,0,0,Azura Stevens,18.5
"Jan 09, 2026",@,15.1,13,4-11,1-4,2-2,7,2,5,3,0,2,0,3,Azura Stevens,21.0
"Jan 05, 2026",@,10.6,19,7-18,2-6,2-2,10,3,7,0,0,0,0,0,Azura Stevens,30.5
"Jan 11, 2026",@,15.4,17,6-11,1-5,2-2,4,1,3,4,1,1,2,1,Sonia Citron,19.5
"Jan 09, 2026",@,16.8,16,7-16,0-5,1-1,3,0,3,2,3,0,1,3,Sonia Citron,18.0
"Jan 05, 2026",@,15.5,10,3-12,0-3,2-3,6,0,6,2,0,1,2,4,Sonia Citron,14.0
"Jan 11, 2026",@,12.6,17,8-12,0-0,1-3,8,1,7,0,1,0,3,4,Shakira Austin,22.5
"Jan 09, 2026",@,15.3,14,5-10,0-1,2-3,10,1,9,1,0,1,1,1,Shakira Austin,23.5
"Jan 05, 2026",@,14.8,12,3-7,0-0,3-3,6,1,5,0,1,1,1,5,Shakira Austin,17.5
"Jan 11, 2026",@,12.7,17,7-11,1-1,1-2,6,1,5,0,2,0,1,2,Monique Billings,22.5
"Jan 09, 2026",@,9.8,10,4-10,0-1,1-1,6,2,4,0,0,0,2,4,Monique Billings,15.0
"Jan 05, 2026",@,13.3,16,5-13,0-1,3-3,10,4,6,1,0,2,1,3,Monique Billings,27.0
"Jan 11, 2026",@,18.7,15,6-13,0-3,2-2,2,0,2,2,1,0,2,1,Kelsey Mitchell,15.0
"Jan 09, 2026",@,17.7,14,7-11,0-3,0-0,2,1,1,1,1,0,0,2,Kelsey Mitchell,16.5
"Jan 05, 2026",@,15.8,11,4-13,1-4,1-1,4,0,4,0,2,0,2,2,Kelsey Mitchell,13.0
"Jan 12, 2026",@,13.4,19,8-19,1-4,1-1,7,3,4,1,0,1,0,3,Kiki Iriafen,27.5
"Jan 10, 2026",@,13.0,15,5-8,0-1,3-6,4,1,3,0,1,0,1,4,Kiki Iriafen,18.5
"Jan 05, 2026",@,9.6,6,1-10,0-0,2-3,8,4,4,2,0,0,0,1,Kiki Iriafen,16.0
"Jan 12, 2026",@,13.3,16,6-11,2-5,1-1,3,1,2,2,3,0,3,1,Arike Ogunbowale,16.5
"Jan 10, 2026",@,10.8,8,3-7,2-5,0-1,2,1,1,1,0,0,3,3,Arike Ogunbowale,7.5
"Jan 05, 2026",@,16.6,12,5-15,2-7,0-1,3,0,3,3,1,0,1,4,Arike Ogunbowale,14.0
"Jan 12, 2026",@,17.8,9,4-9,1-5,0-0,8,1,7,7,1,0,3,3,Natasha Cloud,14.5
"Jan 10, 2026",@,15.1,17,6-11,5-7,0-1,6,0,6,3,1,0,0,3,Natasha Cloud,23.0
"Jan 05, 2026",@,16.8,6,2-5,2-3,0-0,4,0,4,4,0,1,2,4,Natasha Cloud,8.0
"Jan 12, 2026",@,9.6,13,5-9,3-6,0-0,3,2,1,0,1,0,0,3,Maddy Siegrist,17.0
