PLAYER,SCORING_Ratio,REBOUNDING_Ratio,SCORING_Corr2Impcat,REBOUNDING_Corr2Impcat
Aaliyah Edwards,0.6255022194244271,0.4664092508576983,0.9238150883966587,0.5292179859207264
Aari Mcdonald,0.5714285714285714,0.42857142857142855,,
Alanna Smith,0.6293881175768605,0.5906637839046996,0.9533674461840282,0.929466303746684
Aliyah Boston,0.6636280266104242,0.3849117300278955,0.8883421205185339,0.651899238976895
Allisha Gray,0.855490341504465,0.224752138552342,0.9797238339919029,0.5923133135002175
Alyssa Thomas,0.5701444658671718,0.5410447036445729,0.9386715869513698,0.515733407983452
Angel Reese,0.5554648526077098,0.5145578231292517,0.11470786693528087,0.39735970711951313
Arike Ogunbowale,0.8775294296773415,0.2560371929118375,0.9733172398094717,0.5972112428121411
Aziaha James,0.8494018296973961,0.2413011181484088,0.9853614714435828,0.9198169564020029
Azura Stevens,0.5977051019753062,inf,0.9797953708373699,0.902459862631592
Breanna Stewart,0.7207397873944303,0.3388623868085842,0.9697412345154407,0.5607747999527186
Brittney Griner,0.7459922241501189,0.3915504037872459,0.9464514165760172,0.8277550838238508
Brittney Sykes,0.8995909791842284,0.20342085152557682,0.8837807950188172,0.652592138772998
Cameron Brink,0.6621321001750107,0.46636611063067634,0.9623152293625018,0.6547523155896279
Chelsea Gray,0.8744854111994105,0.24685548336139257,0.9670171355802141,0.04762209425331663
Courtney Williams,0.6188901914179488,0.4071417482083058,0.8403691975561283,0.7159743387079482
Dana Evans,0.7692307692307693,0.38461538461538464,,
Dearica Hamby,0.6725836035648988,0.3897260648544889,0.9555830964742609,0.4371944279975557
Dominique Malonga,0.6527377693710233,0.4292751709826951,0.7031631996479427,0.3664333898124898
Erica Wheeler,0.7128108941059456,0.29009441993722784,0.9391939802854169,0.5710255884413187
Ezi Magbegor,0.575675675606898,0.6101317653957892,0.8660761848935964,0.6771576258141967
Jackie Young,0.8352646376022023,0.24887784740422125,0.9669974216888979,-0.519901476208524
Jordin Canada,0.7111446917948466,0.35018039379494487,0.9040485709419325,0.8148800707728872
Kahleah Copper,0.8337866885672528,0.23025922978901034,0.918137710556912,-0.2363740021231456
Kate Martin,0.7085437107176238,0.4741643219904089,0.8244269885965769,0.2983117403727088
Kelsey Mitchell,0.9131983070834586,0.16030441638419077,0.9254057864859282,0.41615310361926683
Kelsey Plum,0.8651873408313132,0.2080504038612764,0.9576130417664735,0.463503304177618
Kiki Iriafen,0.7668394376390587,0.3562453139442004,0.8663899725005557,0.8316817136840646
Lexie Hull,0.5975332472774928,inf,0.9356388434394969,0.8534208455040281
Li Yueru,0.5507936507936507,inf,0.9089280604833105,0.7871469099844896
Maddy Siegrist,0.7951559817977287,0.3247830535259219,0.8899500500194356,0.6252425333579085
Marina Mabrey,0.859853231431611,0.27844843782485384,0.938336763752337,0.08689802046444679
Monique Billings,0.5831577623073326,0.48181724381895563,0.8670065295839696,0.8666477186397499
Natasha Cloud,inf,0.4142724463021667,0.9074239859612572,0.6780269238685548
Natisha Hiedeman,0.7054155385677124,0.4728048521526782,0.9622790117962323,0.39541470842301524
Naz Hillmon,0.5653461541890892,0.525514821435572,0.9225191585080235,0.8924084654804022
Paige Bueckers,0.8290152828767061,0.26428771049206823,0.9495296183128747,0.4156539446438198
Rachel Banham,0.7607098030174952,inf,0.9214059634891402,0.37291534647349434
Rae Burrell,0.7540929033514477,0.3757505289070113,0.967479929000041,0.591613290171988
Rebecca Allen,0.6539529914529915,0.6386752136752136,0.8836212399268929,0.536904467464484
Rhyne Howard,0.83617720053749,0.28004815353964624,0.953795556217206,0.42334258160390165
Rickea Jackson,0.7699369930835448,0.3363881632416115,0.8301318352514444,0.3853870539170926
Saniya Rivers,0.8019047619047619,0.0349084249084249,0.9688013255813146,0.9005497346051284
Shakira Austin,0.6150216718293452,0.45558874567264757,0.9709628532658953,0.7681115594871505
Skylar Diggins,0.9179181998359337,0.2452527294100342,0.992774189263573,0.794784227697943
Sonia Citron,0.8374284221707243,0.2531955983782493,0.9731878299531963,0.24449072940461444
Sug Sutton,0.7278980278980279,0.3480278980278981,0.9549822537828447,0.4345727247130625
Temi Fagbenle,0.6699289531606605,0.48239788666617933,0.9164029957705913,0.8382861123375731
Tiffany Hayes,0.8875108230496642,0.23219392163720076,0.9743016357187264,0.661024929119185
Veronica Burton,0.6194365668999963,0.4512273565641262,0.9069019865895847,0.5597380690540426
